Coffee, 2.79, 3.69
Caffe Misto, 2.79, 3.69

Frap_Coffee, 4.29, 5.09
Frap_Caramel, 4.99, 5.79
Frap_Mocha, 4.99, 5.79
Frap_Java Chip, 4.99, 5.79
Frap_White Chocolate Mocha, 4.99, 5.79
Frap_Caffe Vanilla, 4.99, 5.79
Frap_Vanilla Bean Creme, 4.99, 5.79
Frap_Strawberries & Creme, 4.99, 5.79
Frap_Double Chocolaty Chip Creme, 4.99, 5.79

Essp_Esspresso, 1.99, 2.49
Essp_Caffe Latte, 3.89, 4.39
Essp_Cuppacino, 3.89, 4.39
Essp_Caffe Mocha, 4.69, 5.29
Essp_Vanilla Latte, 4.99, 5.59
Essp_Carmel Mochieno 5.39, 5.79
Essp_White Chocolate Mocha, 4.69, 5.29
Essp_Caffe Americana, 2.79, 3.99

Essp_Iced Caffe Latte, 3.89, 4.39
Essp_Iced Cuppacino, 3.89, 4.39
Essp_Iced Caffe Mocha, 4.69, 5.29
Essp_Iced Vanilla Latte, 4.99, 5.59
Essp_Iced Carmel Mochieno 5.39, 5.79
Essp_Iced Caffe Latte, 2.59, 2.89

Hot Chocolate, 3.29, 3.89
White Hot Chocolate, 3.29, 3.89
Steamer, 3.29, 3.89
Hot Chai Lattte, 4.39, 4.79
Iced Chai Lattte, 4.39, 4.79
Hot Brewed Tea, 2.39,	2.79
